지역,대지역,소지역,총인구,65세이상,계,상급종합,종합병원,병원,의원,요양병원,치과,기타,권역
강원강릉시,강원,강릉시,215528,40281,256.0,0.0,4.0,3.0,114.0,4.0,56.0,58.0,비수도권
강원고성군,강원,고성군,28127,7014,30.0,0.0,0.0,0.0,7.0,0.0,5.0,4.0,비수도권
강원동해시,강원,동해시,87830,16115,100.0,0.0,1.0,2.0,50.0,3.0,26.0,16.0,비수도권
강원삼척시,강원,삼척시,67881,14842,68.0,0.0,1.0,1.0,27.0,1.0,13.0,10.0,비수도권
강원속초시,강원,속초시,78312,13607,124.0,0.0,2.0,0.0,64.0,2.0,31.0,24.0,비수도권
강원양구군,강원,양구군,22101,4108,25.0,0.0,0.0,3.0,5.0,0.0,5.0,4.0,비수도권
강원양양군,강원,양양군,25642,7273,25.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,비수도권
강원영월군,강원,영월군,36762,10040,40.0,0.0,1.0,1.0,12.0,1.0,6.0,6.0,비수도권
강원원주시,강원,원주시,344168,46538,437.0,1.0,1.0,18.0,193.0,7.0,97.0,102.0,비수도권
강원인제군,강원,인제군,30373,5768,31.0,0.0,0.0,1.0,7.0,1.0,6.0,5.0,비수도권
강원정선군,강원,정선군,35580,8805,40.0,0.0,0.0,2.0,10.0,0.0,5.0,4.0,비수도권
강원철원군,강원,철원군,44346,8990,47.0,0.0,0.0,1.0,18.0,1.0,7.0,8.0,비수도권
강원춘천시,강원,춘천시,284985,44699,347.0,0.0,2.0,9.0,158.0,7.0,80.0,67.0,비수도권
강원태백시,강원,태백시,43488,9524,45.0,0.0,1.0,1.0,24.0,0.0,9.0,7.0,비수도권
강원평창군,강원,평창군,40025,10080,62.0,0.0,0.0,0.0,17.0,2.0,11.0,10.0,비수도권
강원홍천군,강원,홍천군,67177,15751,89.0,0.0,1.0,2.0,29.0,3.0,16.0,11.0,비수도권
강원화천군,강원,화천군,23950,4849,28.0,0.0,0.0,0.0,8.0,0.0,5.0,4.0,비수도권
강원횡성군,강원,횡성군,44116,11752,51.0,0.0,0.0,1.0,13.0,1.0,7.0,12.0,비수도권
경기가평군,경기,가평군,59957,13809,91.0,0.0,0.0,3.0,26.0,3.0,20.0,18.0,수도권
경기고양시,경기,고양시,1006992,124493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기과천시,경기,과천시,53740,7243,68.0,0.0,0.0,0.0,36.0,0.0,17.0,14.0,수도권
경기광명시,경기,광명시,323460,39039,405.0,0.0,1.0,5.0,199.0,5.0,114.0,80.0,수도권
경기광주시,경기,광주시,364178,41787,294.0,0.0,1.0,2.0,129.0,8.0,70.0,68.0,수도권
경기구리시,경기,구리시,195868,23085,326.0,0.0,1.0,9.0,149.0,5.0,93.0,66.0,수도권
경기군포시,경기,군포시,276860,31901,315.0,0.0,2.0,3.0,137.0,8.0,96.0,67.0,수도권
경기권선구,경기,권선구,379834,36272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기기흥구,경기,기흥구,422583,49257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기김포시,경기,김포시,424865,46969,454.0,0.0,2.0,14.0,194.0,6.0,128.0,96.0,수도권
경기남양주시,경기,남양주시,661866,85444,666.0,0.0,3.0,12.0,297.0,19.0,186.0,138.0,수도권
경기단원구,경기,단원구,353042,29646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기덕양구,경기,덕양구,436865,58626,467.0,0.0,1.0,8.0,219.0,6.0,119.0,113.0,수도권
경기동두천시,경기,동두천시,97535,17707,96.0,0.0,0.0,1.0,41.0,10.0,26.0,17.0,수도권
경기동안구,경기,동안구,314756,32583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기만안구,경기,만안구,251818,34147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기부천시,경기,부천시,848756,98444,1087.0,1.0,4.0,23.0,507.0,31.0,287.0,231.0,수도권
경기분당구,경기,분당구,469954,54110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기상록구,경기,상록구,367063,36023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기성남시,경기,성남시,931393,117099,1647.0,1.0,5.0,17.0,786.0,15.0,469.0,350.0,수도권
경기수원시,경기,수원시,1218843,117044,1582.0,1.0,3.0,33.0,723.0,25.0,438.0,355.0,수도권
경기수정구,경기,수정구,240405,33030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기수지구,경기,수지구,344019,42863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기시흥시,경기,시흥시,480201,38683,451.0,0.0,3.0,4.0,215.0,14.0,128.0,81.0,수도권
경기안산시,경기,안산시,720105,65669,744.0,1.0,3.0,21.0,352.0,17.0,191.0,151.0,수도권
경기안성시,경기,안성시,201135,29512,193.0,0.0,2.0,2.0,74.0,10.0,48.0,32.0,수도권
경기안양시,경기,안양시,566574,66730,845.0,1.0,2.0,14.0,373.0,8.0,254.0,191.0,수도권
경기양주시,경기,양주시,217776,31143,182.0,0.0,0.0,5.0,82.0,13.0,46.0,30.0,수도권
경기양평군,경기,양평군,111094,25508,139.0,0.0,0.0,2.0,41.0,9.0,28.0,32.0,수도권
경기여주시,경기,여주시,112096,21240,143.0,0.0,0.0,4.0,51.0,5.0,33.0,27.0,수도권
경기연천군,경기,연천군,43383,10182,48.0,0.0,0.0,0.0,13.0,1.0,12.0,7.0,수도권
경기영통구,경기,영통구,355991,22517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기오산시,경기,오산시,228059,18947,230.0,0.0,3.0,6.0,103.0,5.0,71.0,41.0,수도권
경기용인시,경기,용인시,1026126,124177,1089.0,0.0,3.0,10.0,487.0,26.0,317.0,226.0,수도권
경기의왕시,경기,의왕시,149599,18811,146.0,0.0,0.0,2.0,61.0,4.0,46.0,31.0,수도권
경기의정부시,경기,의정부시,432286,59525,543.0,0.0,4.0,13.0,268.0,10.0,145.0,102.0,수도권
경기이천시,경기,이천시,220599,27362,243.0,0.0,1.0,4.0,104.0,8.0,57.0,46.0,수도권
경기일산동구,경기,일산동구,287473,33175,361.0,0.0,3.0,11.0,157.0,15.0,98.0,76.0,수도권
경기일산서구,경기,일산서구,282654,32692,367.0,0.0,1.0,5.0,168.0,7.0,95.0,90.0,수도권
경기장안구,경기,장안구,288719,32961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기중원구,경기,중원구,221034,29959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기처인구,경기,처인구,259524,32057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기파주시,경기,파주시,447906,56304,428.0,0.0,1.0,10.0,182.0,21.0,115.0,85.0,수도권
경기팔달구,경기,팔달구,194299,25294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,수도권
경기평택시,경기,평택시,504485,56015,545.0,0.0,4.0,10.0,249.0,5.0,146.0,109.0,수도권
경기포천시,경기,포천시,161564,25384,153.0,0.0,2.0,3.0,59.0,5.0,36.0,25.0,수도권
경기하남시,경기,하남시,238592,28700,284.0,0.0,0.0,6.0,143.0,2.0,76.0,56.0,수도권
경기화성시,경기,화성시,777295,61915,741.0,0.0,3.0,10.0,334.0,14.0,203.0,147.0,수도권
경남거제시,경남,거제시,252889,22755,242.0,0.0,3.0,7.0,103.0,2.0,59.0,45.0,비수도권
경남거창군,경남,거창군,60020,15604,95.0,0.0,0.0,2.0,31.0,3.0,16.0,13.0,비수도권
경남고성군,경남,고성군,51778,14504,72.0,0.0,0.0,3.0,19.0,2.0,10.0,12.0,비수도권
경남김해시,경남,김해시,539401,53290,541.0,0.0,5.0,26.0,221.0,38.0,134.0,107.0,비수도권
경남남해군,경남,남해군,42696,15136,69.0,0.0,0.0,1.0,24.0,1.0,9.0,9.0,비수도권
경남밀양시,경남,밀양시,103762,26111,133.0,0.0,0.0,9.0,45.0,6.0,24.0,24.0,비수도권
경남사천시,경남,사천시,112248,22116,144.0,0.0,0.0,5.0,50.0,7.0,34.0,28.0,비수도권
경남산청군,경남,산청군,34122,11550,58.0,0.0,0.0,0.0,13.0,1.0,6.0,13.0,비수도권
경남성산구,경남,성산구,225894,15156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
경남양산시,경남,양산시,344993,40960,380.0,1.0,2.0,10.0,173.0,18.0,86.0,81.0,비수도권
경남의령군,경남,의령군,26401,9107,49.0,0.0,0.0,2.0,11.0,2.0,5.0,7.0,비수도권
경남의창구,경남,의창구,251931,28163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
경남진주시,경남,진주시,352333,52375,450.0,1.0,3.0,13.0,193.0,9.0,110.0,96.0,비수도권
경남진해구,경남,진해구,190276,23939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
경남창녕군,경남,창녕군,62703,17273,101.0,0.0,0.0,4.0,28.0,7.0,13.0,16.0,비수도권
경남창원시,경남,창원시,1420329,192246,789.0,0.0,5.0,24.0,338.0,19.0,208.0,186.0,비수도권
경남통영시,경남,통영시,131407,22065,171.0,0.0,0.0,7.0,76.0,4.0,34.0,28.0,비수도권
경남하동군,경남,하동군,43001,13936,77.0,0.0,0.0,3.0,20.0,2.0,12.0,9.0,비수도권
경남함안군,경남,함안군,67520,14194,70.0,0.0,0.0,3.0,22.0,4.0,13.0,13.0,비수도권
경남함양군,경남,함양군,38005,12097,63.0,0.0,0.0,1.0,21.0,0.0,9.0,10.0,비수도권
경남합천군,경남,합천군,42856,16123,78.0,0.0,0.0,3.0,17.0,2.0,10.0,14.0,비수도권
경북경산시,경북,경산시,284517,39888,321.0,0.0,1.0,4.0,147.0,12.0,74.0,64.0,비수도권
경북경주시,경북,경주시,264282,51011,299.0,0.0,1.0,11.0,114.0,14.0,60.0,70.0,비수도권
경북고령군,경북,고령군,32660,8992,53.0,0.0,0.0,1.0,13.0,2.0,9.0,10.0,비수도권
경북구미시,경북,구미시,422195,35145,458.0,0.0,3.0,8.0,217.0,9.0,109.0,90.0,비수도권
경북군위군,경북,군위군,22277,8386,34.0,0.0,0.0,0.0,8.0,0.0,3.0,5.0,비수도권
경북김천시,경북,김천시,139894,29519,156.0,0.0,2.0,2.0,61.0,4.0,31.0,24.0,비수도권
경북남구,경북,남구,236268,34870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
경북문경시,경북,문경시,68895,19580,107.0,0.0,1.0,2.0,44.0,1.0,19.0,17.0,비수도권
경북봉화군,경북,봉화군,30872,10663,37.0,0.0,0.0,1.0,7.0,1.0,4.0,7.0,비수도권
경북북구,경북,북구,268114,41620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
경북상주시,경북,상주시,97558,27978,145.0,0.0,2.0,1.0,47.0,3.0,24.0,24.0,비수도권
경북성주군,경북,성주군,41299,12189,64.0,0.0,0.0,2.0,18.0,5.0,9.0,9.0,비수도권
경북안동시,경북,안동시,162186,35897,220.0,0.0,3.0,5.0,76.0,7.0,45.0,44.0,비수도권
경북영덕군,경북,영덕군,36096,12617,58.0,0.0,0.0,1.0,17.0,1.0,9.0,8.0,비수도권
경북영양군,경북,영양군,16559,5777,21.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,비수도권
경북영주시,경북,영주시,107034,25926,144.0,0.0,1.0,6.0,50.0,4.0,28.0,31.0,비수도권
경북영천시,경북,영천시,98686,25620,149.0,0.0,1.0,2.0,60.0,3.0,19.0,39.0,비수도권
경북예천군,경북,예천군,51082,15401,76.0,0.0,0.0,1.0,20.0,2.0,13.0,13.0,비수도권
경북울릉군,경북,울릉군,8729,1986,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,비수도권
경북울진군,경북,울진군,48057,12482,65.0,0.0,0.0,1.0,15.0,2.0,10.0,11.0,비수도권
경북의성군,경북,의성군,49621,19806,88.0,0.0,0.0,5.0,19.0,6.0,8.0,11.0,비수도권
경북청도군,경북,청도군,40878,14346,69.0,0.0,0.0,4.0,20.0,5.0,9.0,12.0,비수도권
경북청송군,경북,청송군,24160,8554,45.0,0.0,0.0,1.0,13.0,0.0,5.0,8.0,비수도권
경북칠곡군,경북,칠곡군,120983,16216,112.0,0.0,0.0,3.0,44.0,5.0,23.0,19.0,비수도권
경북포항시,경북,포항시,504382,76490,655.0,0.0,5.0,14.0,277.0,32.0,162.0,127.0,비수도권
광주광산구,광주,광산구,420665,35370,486.0,0.0,6.0,16.0,209.0,17.0,144.0,85.0,비수도권
광주남구,광주,남구,217345,34841,320.0,0.0,3.0,15.0,125.0,9.0,103.0,62.0,비수도권
광주동구,광주,동구,99870,20601,231.0,2.0,1.0,6.0,114.0,10.0,57.0,40.0,비수도권
광주북구,광주,북구,450023,59378,596.0,0.0,6.0,21.0,251.0,19.0,182.0,116.0,비수도권
광주서구,광주,서구,302189,38432,538.0,0.0,5.0,18.0,252.0,10.0,149.0,102.0,비수도권
대구남구,대구,남구,150132,32015,242.0,2.0,1.0,7.0,104.0,9.0,56.0,62.0,비수도권
대구달서구,대구,달서구,576746,70300,794.0,1.0,4.0,31.0,372.0,13.0,200.0,172.0,비수도권
대구달성군,대구,달성군,250753,28193,271.0,0.0,0.0,6.0,125.0,6.0,59.0,58.0,비수도권
대구동구,대구,동구,342396,60276,472.0,0.0,1.0,9.0,234.0,8.0,101.0,118.0,비수도권
대구북구,대구,북구,444759,56377,545.0,1.0,1.0,21.0,245.0,11.0,143.0,121.0,비수도권
대구서구,대구,서구,183857,35899,261.0,0.0,1.0,9.0,119.0,8.0,54.0,69.0,비수도권
대구수성구,대구,수성구,418834,59795,743.0,0.0,1.0,15.0,343.0,7.0,169.0,207.0,비수도권
대구중구,대구,중구,76935,14798,451.0,1.0,2.0,12.0,246.0,3.0,113.0,73.0,비수도권
대전대덕구,대전,대덕구,184308,24597,221.0,0.0,2.0,4.0,114.0,4.0,47.0,48.0,비수도권
대전동구,대전,동구,237297,38332,336.0,0.0,1.0,4.0,157.0,12.0,76.0,83.0,비수도권
대전서구,대전,서구,484492,53832,885.0,0.0,3.0,26.0,431.0,13.0,221.0,187.0,비수도권
대전유성구,대전,유성구,365833,29265,441.0,0.0,1.0,11.0,198.0,11.0,103.0,110.0,비수도권
