지역,대지역,소지역,총인구,65세이상,계,상급종합,종합병원,병원,의원,요양병원,치과,기타,권역
대전중구,대전,중구,239284,41190,375.0,1.0,2.0,5.0,177.0,12.0,87.0,88.0,비수도권
부산강서구,부산,강서구,121351,12550,107.0,0.0,0.0,3.0,48.0,0.0,28.0,20.0,비수도권
부산금정구,부산,금정구,247971,43924,360.0,0.0,1.0,9.0,147.0,22.0,95.0,85.0,비수도권
부산기장군,부산,기장군,160335,23203,174.0,0.0,1.0,5.0,81.0,6.0,41.0,33.0,비수도권
부산남구,부산,남구,282645,48501,363.0,0.0,1.0,8.0,157.0,8.0,99.0,89.0,비수도권
부산동구,부산,동구,84557,20774,174.0,0.0,3.0,5.0,77.0,5.0,37.0,46.0,비수도권
부산동래구,부산,동래구,258386,43977,475.0,0.0,3.0,15.0,187.0,16.0,136.0,117.0,비수도권
부산부산진구,부산,부산진구,357723,62212,790.0,1.0,3.0,18.0,425.0,14.0,168.0,160.0,비수도권
부산북구,부산,북구,291675,42372,364.0,0.0,2.0,10.0,165.0,16.0,90.0,79.0,비수도권
부산사상구,부산,사상구,226961,33983,243.0,0.0,2.0,9.0,112.0,18.0,58.0,43.0,비수도권
부산사하구,부산,사하구,326655,52035,413.0,0.0,0.0,18.0,181.0,25.0,102.0,86.0,비수도권
부산서구,부산,서구,107028,23846,148.0,3.0,1.0,4.0,62.0,6.0,34.0,37.0,비수도권
부산수영구,부산,수영구,170296,33451,305.0,0.0,2.0,8.0,122.0,11.0,80.0,81.0,비수도권
부산연제구,부산,연제구,199887,34800,353.0,0.0,1.0,10.0,150.0,16.0,92.0,83.0,비수도권
부산영도구,부산,영도구,120731,27570,148.0,0.0,2.0,1.0,74.0,5.0,31.0,34.0,비수도권
부산중구,부산,중구,42766,9975,141.0,0.0,1.0,2.0,67.0,5.0,39.0,26.0,비수도권
부산해운대구,부산,해운대구,396311,60622,653.0,0.0,2.0,14.0,319.0,18.0,164.0,133.0,비수도권
서울강남구,서울,강남구,507810,63169,2623.0,2.0,2.0,33.0,1618.0,9.0,582.0,376.0,수도권
서울강동구,서울,강동구,414231,56971,779.0,0.0,3.0,15.0,349.0,7.0,215.0,189.0,수도권
서울강북구,서울,강북구,309138,55754,457.0,0.0,1.0,8.0,223.0,5.0,123.0,96.0,수도권
서울강서구,서울,강서구,578539,76645,829.0,0.0,4.0,17.0,382.0,4.0,222.0,199.0,수도권
서울관악구,서울,관악구,510303,70274,691.0,0.0,1.0,10.0,316.0,3.0,207.0,153.0,수도권
서울광진구,서울,광진구,362304,44120,552.0,1.0,1.0,5.0,267.0,2.0,155.0,120.0,수도권
서울구로구,서울,구로구,433765,62728,561.0,1.0,1.0,8.0,262.0,9.0,168.0,110.0,수도권
서울금천구,서울,금천구,249344,35737,350.0,0.0,1.0,6.0,154.0,4.0,106.0,78.0,수도권
서울노원구,서울,노원구,534096,74319,723.0,0.0,3.0,7.0,349.0,6.0,195.0,161.0,수도권
서울도봉구,서울,도봉구,328243,54391,369.0,0.0,1.0,8.0,160.0,6.0,106.0,87.0,수도권
서울동대문구,서울,동대문구,358141,54601,613.0,1.0,3.0,14.0,260.0,8.0,160.0,166.0,수도권
서울동작구,서울,동작구,397980,57038,573.0,1.0,1.0,5.0,257.0,3.0,172.0,133.0,수도권
서울마포구,서울,마포구,368181,47579,735.0,0.0,0.0,2.0,368.0,2.0,205.0,157.0,수도권
서울서대문구,서울,서대문구,318874,47478,435.0,1.0,1.0,5.0,208.0,3.0,125.0,90.0,수도권
서울서초구,서울,서초구,409491,51729,1216.0,1.0,0.0,11.0,617.0,4.0,318.0,262.0,수도권
서울성동구,서울,성동구,306796,40821,438.0,1.0,0.0,5.0,206.0,3.0,129.0,93.0,수도권
서울성북구,서울,성북구,438734,64433,529.0,1.0,0.0,6.0,252.0,7.0,148.0,114.0,수도권
서울송파구,서울,송파구,638167,77789,1151.0,1.0,1.0,16.0,548.0,10.0,318.0,255.0,수도권
서울양천구,서울,양천구,445591,55645,626.0,0.0,3.0,5.0,277.0,4.0,181.0,155.0,수도권
서울영등포구,서울,영등포구,395286,55288,753.0,0.0,7.0,8.0,337.0,12.0,239.0,149.0,수도권
서울용산구,서울,용산구,226938,32972,305.0,0.0,1.0,2.0,131.0,0.0,107.0,63.0,수도권
서울은평구,서울,은평구,462552,73627,658.0,0.0,2.0,11.0,316.0,5.0,177.0,144.0,수도권
서울종로구,서울,종로구,157967,24047,500.0,2.0,2.0,3.0,194.0,0.0,165.0,133.0,수도권
서울중구,서울,중구,129797,19754,558.0,0.0,2.0,4.0,241.0,0.0,219.0,91.0,수도권
서울중랑구,서울,중랑구,391668,59566,504.0,0.0,3.0,12.0,231.0,3.0,146.0,108.0,수도권
세종시세종시,세종시,세종시,312374,27851,368.0,0.0,1.0,1.0,182.0,6.0,84.0,76.0,비수도권
울산남구,울산,남구,327561,33893,610.0,0.0,3.0,19.0,270.0,18.0,177.0,121.0,비수도권
울산동구,울산,동구,166992,16344,180.0,0.0,1.0,1.0,89.0,4.0,47.0,37.0,비수도권
울산북구,울산,북구,203675,14605,160.0,0.0,1.0,4.0,68.0,4.0,48.0,32.0,비수도권
울산울주군,울산,울주군,224834,27998,196.0,0.0,1.0,9.0,73.0,10.0,43.0,43.0,비수도권
울산중구,울산,중구,227054,28586,238.0,0.0,2.0,10.0,106.0,5.0,67.0,47.0,비수도권
인천강화군,인천,강화군,64432,19931,85.0,0.0,1.0,2.0,20.0,5.0,14.0,16.0,수도권
인천계양구,인천,계양구,307598,32991,363.0,0.0,2.0,8.0,159.0,10.0,104.0,78.0,수도권
인천남동구,인천,남동구,537389,62150,714.0,1.0,0.0,14.0,345.0,16.0,188.0,149.0,수도권
인천동구,인천,동구,65185,12844,87.0,0.0,2.0,0.0,41.0,0.0,25.0,18.0,수도권
인천미추홀구,인천,미추홀구,415102,61540,463.0,0.0,2.0,13.0,210.0,16.0,123.0,96.0,수도권
인천부평구,인천,부평구,525014,65763,635.0,1.0,2.0,10.0,307.0,8.0,173.0,132.0,수도권
인천서구,인천,서구,532713,49464,504.0,0.0,5.0,9.0,239.0,9.0,144.0,97.0,수도권
인천연수구,인천,연수구,349963,30395,367.0,0.0,1.0,4.0,174.0,4.0,104.0,78.0,수도권
인천옹진군,인천,옹진군,19207,4518,29.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,수도권
인천중구,인천,중구,119514,16841,113.0,1.0,1.0,1.0,51.0,4.0,34.0,17.0,수도권
전남강진군,전남,강진군,33298,11008,54.0,0.0,0.0,2.0,20.0,1.0,6.0,7.0,비수도권
전남고흥군,전남,고흥군,60664,23995,111.0,0.0,1.0,3.0,33.0,1.0,12.0,18.0,비수도권
전남곡성군,전남,곡성군,28116,9398,55.0,0.0,0.0,1.0,14.0,2.0,9.0,5.0,비수도권
전남광양시,전남,광양시,144027,17321,159.0,0.0,1.0,3.0,62.0,5.0,41.0,24.0,비수도권
전남구례군,전남,구례군,24246,8124,46.0,0.0,0.0,1.0,10.0,3.0,5.0,7.0,비수도권
전남나주시,전남,나주시,109862,23438,165.0,0.0,1.0,5.0,61.0,10.0,32.0,27.0,비수도권
전남담양군,전남,담양군,43749,12885,76.0,0.0,0.0,2.0,22.0,6.0,11.0,12.0,비수도권
전남목포시,전남,목포시,231798,35321,284.0,0.0,5.0,15.0,134.0,7.0,64.0,57.0,비수도권
전남무안군,전남,무안군,81324,15411,106.0,0.0,1.0,2.0,43.0,3.0,18.0,19.0,비수도권
전남보성군,전남,보성군,39373,14474,76.0,0.0,0.0,2.0,24.0,4.0,9.0,11.0,비수도권
전남순천시,전남,순천시,268284,39145,340.0,0.0,5.0,17.0,130.0,7.0,90.0,59.0,비수도권
전남신안군,전남,신안군,35639,12576,67.0,0.0,0.0,2.0,13.0,2.0,5.0,5.0,비수도권
전남여수시,전남,여수시,270947,47666,353.0,0.0,3.0,7.0,154.0,10.0,81.0,57.0,비수도권
전남영광군,전남,영광군,49570,13950,88.0,0.0,2.0,0.0,34.0,2.0,15.0,14.0,비수도권
전남영암군,전남,영암군,57175,13054,78.0,0.0,0.0,2.0,23.0,2.0,13.0,14.0,비수도권
전남완도군,전남,완도군,48340,14557,78.0,0.0,0.0,1.0,25.0,0.0,10.0,11.0,비수도권
전남장성군,전남,장성군,41850,11977,63.0,0.0,0.0,2.0,19.0,2.0,9.0,10.0,비수도권
전남장흥군,전남,장흥군,35875,11666,67.0,0.0,1.0,1.0,25.0,1.0,8.0,11.0,비수도권
전남진도군,전남,진도군,29366,9376,55.0,0.0,0.0,2.0,16.0,1.0,7.0,7.0,비수도권
전남함평군,전남,함평군,30600,10566,59.0,0.0,0.0,2.0,15.0,2.0,9.0,6.0,비수도권
전남해남군,전남,해남군,66209,20343,100.0,0.0,2.0,2.0,36.0,2.0,16.0,10.0,비수도권
전남화순군,전남,화순군,60040,15343,103.0,1.0,0.0,3.0,31.0,14.0,16.0,12.0,비수도권
전북고창군,전북,고창군,54425,17251,100.0,0.0,1.0,1.0,31.0,5.0,13.0,12.0,비수도권
전북군산시,전북,군산시,272204,44474,362.0,0.0,2.0,6.0,159.0,9.0,77.0,75.0,비수도권
전북김제시,전북,김제시,81410,24024,143.0,0.0,0.0,9.0,50.0,4.0,19.0,21.0,비수도권
전북남원시,전북,남원시,78487,20871,146.0,0.0,1.0,2.0,57.0,4.0,21.0,21.0,비수도권
전북덕진구,전북,덕진구,310804,40241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
전북무주군,전북,무주군,23058,7311,41.0,0.0,0.0,0.0,13.0,0.0,5.0,8.0,비수도권
전북부안군,전북,부안군,50501,15718,88.0,0.0,1.0,4.0,26.0,2.0,15.0,17.0,비수도권
전북순창군,전북,순창군,27136,8945,58.0,0.0,0.0,1.0,16.0,1.0,6.0,6.0,비수도권
전북완산구,전북,완산구,348108,49289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
전북완주군,전북,완주군,98002,19247,134.0,0.0,0.0,4.0,50.0,7.0,18.0,25.0,비수도권
전북익산시,전북,익산시,294787,50075,412.0,1.0,1.0,6.0,173.0,12.0,95.0,84.0,비수도권
전북임실군,전북,임실군,26377,8901,64.0,0.0,0.0,1.0,15.0,2.0,6.0,8.0,비수도권
전북장수군,전북,장수군,21281,6738,35.0,0.0,0.0,0.0,9.0,0.0,5.0,4.0,비수도권
전북전주시,전북,전주시,658912,89530,1039.0,1.0,4.0,36.0,470.0,34.0,270.0,220.0,비수도권
전북정읍시,전북,정읍시,108271,27621,194.0,0.0,1.0,4.0,76.0,5.0,33.0,33.0,비수도권
전북진안군,전북,진안군,23306,7740,46.0,0.0,0.0,2.0,11.0,0.0,4.0,5.0,비수도권
제주제주시,제주,제주시,833632,124492,691.0,0.0,5.0,4.0,337.0,10.0,163.0,140.0,비수도권
충남계룡시,충남,계룡시,41557,4366,47.0,0.0,0.0,2.0,17.0,1.0,12.0,12.0,비수도권
충남공주시,충남,공주시,110119,24953,166.0,0.0,1.0,1.0,66.0,10.0,26.0,32.0,비수도권
충남금산군,충남,금산군,55015,14502,86.0,0.0,0.0,1.0,35.0,3.0,13.0,16.0,비수도권
충남논산시,충남,논산시,122843,28368,201.0,0.0,1.0,2.0,79.0,12.0,31.0,36.0,비수도권
충남당진시,충남,당진시,169965,28212,196.0,0.0,1.0,3.0,80.0,4.0,45.0,32.0,비수도권
충남동남구,충남,동남구,276455,33198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
충남보령시,충남,보령시,100229,23105,141.0,0.0,1.0,2.0,55.0,4.0,22.0,29.0,비수도권
충남부여군,충남,부여군,66527,20723,105.0,0.0,0.0,1.0,30.0,5.0,16.0,17.0,비수도권
충남서북구,충남,서북구,395344,30273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
충남서산시,충남,서산시,174177,29353,190.0,0.0,2.0,0.0,76.0,2.0,48.0,36.0,비수도권
충남서천군,충남,서천군,52604,17552,89.0,0.0,0.0,1.0,29.0,5.0,11.0,15.0,비수도권
충남아산시,충남,아산시,342272,37551,330.0,0.0,1.0,9.0,140.0,10.0,82.0,60.0,비수도권
충남예산군,충남,예산군,79136,22015,115.0,0.0,1.0,1.0,40.0,0.0,21.0,23.0,비수도권
충남천안시,충남,천안시,671799,63471,782.0,2.0,2.0,18.0,339.0,23.0,191.0,175.0,비수도권
충남청양군,충남,청양군,31181,10106,48.0,0.0,0.0,1.0,10.0,2.0,6.0,6.0,비수도권
충남태안군,충남,태안군,60948,17162,82.0,0.0,0.0,1.0,29.0,2.0,14.0,13.0,비수도권
충남홍성군,충남,홍성군,103044,21717,131.0,0.0,1.0,0.0,49.0,6.0,25.0,24.0,비수도권
충북괴산군,충북,괴산군,38453,11386,52.0,0.0,0.0,2.0,9.0,1.0,5.0,5.0,비수도권
충북단양군,충북,단양군,28444,8024,42.0,0.0,0.0,1.0,7.0,1.0,6.0,4.0,비수도권
충북보은군,충북,보은군,32507,10275,57.0,0.0,0.0,2.0,16.0,2.0,6.0,7.0,비수도권
충북상당구,충북,상당구,170120,24983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
충북서원구,충북,서원구,216409,26603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
충북영동군,충북,영동군,48475,13839,85.0,0.0,0.0,1.0,27.0,3.0,10.0,16.0,비수도권
충북옥천군,충북,옥천군,49756,13661,83.0,0.0,1.0,0.0,29.0,4.0,11.0,13.0,비수도권
충북음성군,충북,음성군,105539,17658,128.0,0.0,0.0,4.0,47.0,3.0,26.0,21.0,비수도권
충북제천시,충북,제천시,136101,26042,187.0,0.0,2.0,1.0,81.0,8.0,38.0,37.0,비수도권
충북증평군,충북,증평군,37485,5688,42.0,0.0,0.0,2.0,20.0,1.0,8.0,8.0,비수도권
충북진천군,충북,진천군,83915,12253,91.0,0.0,1.0,0.0,35.0,2.0,21.0,17.0,비수도권
충북청원구,충북,청원구,200470,22344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
충북청주시,충북,청주시,845036,99576,1062.0,1.0,6.0,22.0,487.0,20.0,249.0,235.0,비수도권
충북충주시,충북,충주시,215224,37306,258.0,0.0,2.0,3.0,122.0,7.0,47.0,47.0,비수도권
충북흥덕구,충북,흥덕구,258037,25646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,비수도권
