64.14,1977
242,12500
52,3745
396.8,60000
30,1323
33,1470
49,2205
66,2940
66,2940
66,2940
115.5,3635
82,3749
245.2,33345
47.75,9500
694,16000
244,2900
571,43000
268,9000
301.1,36000
25.05,550
60,2300
24,2760
116,3000
30,3440
282.1,33000
132,5100
297,18000
115.5,3635
73,5700
165,2817
165,2817
165,2817
165,2817
215,3672
10,300
275,4695
42,1100
331,16500
331,4600
1650,41396
393.8,51170
17,965
74,1200
50,1426
221.23,10056
489.9,112400
205.8,19000
99,2800
66,2940
66,2940
104,3445
281,3780
281,3780
132,3842
102,4410
191,8526
63,9500
298,9871
218.77,9944
149.33,2700
193.7,52000
696.5,42000
116,5145
123,12000
121,12000
66,3040
573,33500
148.2,4274
331,5000
111,9200
66,1200
301,16278
334,18374
126,2266
66,2470
376,23000
717,30082
1507,37500
906,42000
161.44,7320
307,7500
231,20000
118,3060
38,500
18,1800
115,11500
156,13990
248,24900
188,25000
285,28500
217.6,30000
364,30310
7,700
166,8250
87,8700
245.7,80000
335,9090
206,21500
578.5,100000
143.4,11000
125,1900
165,2994
165,2994
165,2994
165,2994
165,2994
165,2994
165,2994
165,2994
50,20000
166,3012
189,3430
223,4046
33,1283
76,11500
66,3060
618.9,42000
23,1029
56,2499
928,280256
79,3528
1011,54400
493,6000
185,12000
330,53000
165,7497
245.5,86500
330,9604
479,38000
126.2,19000
3,193
5,2000
165,4542
165,4542
165,4542
165,4542
165,4542
165,4542
5.29,470
10,579
243,6689
171.5,56300
91,11000
556,134400
89,16850
37.6,2000
14,2650
3,37
33,1499
33,1499
33,1499
281,15948
46,2058
79,3528
99,4410
7792,442222
13,588
119,6753
1567,88933
938,12100
154,3500
272,42780
20,1399
249.9,10500
304,2659
301,2958
393,4337
86,5200
711,5837
3.94,600
72.3,7000
496.15,9000
781.5,16100
330,5000
508.88,8600
41,2000
10,1000
165,8330
17.34,2886
1.7,283
189.43,31516
2.04,339
116,5145
118,5219
334.82,55706
113,6000
103,7750
48.97,8148
132,27000
289.6,37000
36,1200
482,16131
225,28405
99,3900
37,4595
20,669
118,10000
100.6,15000
1263,20900
41,3000
459.8,73600
330.5,9604
72,11760
194,17000
166.04,3250
27,3750
165,8330
165,8330
7,1325
33,1470
49,2161
50,2205
56,2499
2932,72000
132,10720
5,100
1.75,300
22,480
24,520
330,6379
331,6398
331,6398
331,6398
331,6398
442,8545
661,9000
496,9587
512,9897
13,915
330,5200
83,9000
245,13500
106,2500
182,9000
330.5,9604
86,14760
35,5950
841,50000
37,6290
9,1157
440,10300
370,100900
101,12979
1,129
416,17640
1363,175152
116,19960
46,2058
19,2442
159,20432
160,20561
960,210000
185,23773
185,23773
901,230800
150.75,25000
150.75,27600
220,28271
244,28785
246,31612
12,4400
28,4890
319,40993
301.5,45500
417,53586
426,54743
446,57313
3,620
509,65409
57,7325
62,7967
583,74918
423,75000
71,8290
487,87000
36,9820
718,92266
734,94322
756,97150
15,990
344.2,175000
9,310
17,400
244,7400
555,29280
407.7,30500
466,9000
165,10290
74,2166
62,2793
87,3957
184,5334
152.5,8500
33,1568
33,1568
208,14000
33,1568
200.2,13000
1226,136512
74,1700
359,17500
331,4500
145,5300
33,1568
657.68,1883
19.3,301
33.42,375
49,2205
165,7350
192,1600
1.02,10
165,6000
333,65000
36.3,950
165,2096
165,2096
165,2096
165,2096
165,2096
165,2096
165,2096
165,2096
174,2212
7.5,3000
20,5000
165,8250
324,85500
330,10282
6,40
268,7000
420,8000
99,1150
480,29090
328.5,37800
365,43043
1532,60000
33,1568
33,1568
180,11506
3,194
33,2058
83,3920
3,300
298.58,4695
165,7840
165,7840
1131,29911
1289,34089
270,53980
270.2,54020
33,1499
231,10290
213,30080
132,4190
17,750
397,12300
33,1048
66,2035
443,32800
300.3,54300
477,15000
56.6,7960
251,8500
33,1499
605,11000
206.6,113000
102,10000
116,17500
212,21000
205,21720
826,230000
318.5,25600
86,4500
244.54,49400
347,65000
241,10000
206.9,20000
33,1568
33,1568
36,1725
330,16500
20,2700
90,3969
100.5,4410
17,735
43,2038
66,2095
49,2352
90,4234
166,7840
119,9800
34,1568
54,2399
13151.9,287388
57,3000
31,1500
129,3600
18,1080
3,200
67,3920
205,38500
20,400
400,7270
807,15000
13.38,370
99,4500
261.5,40500
66,5000
19.13,530
596,120000
70.4,12626
609,13700
25,10000
79,3599
126,3797
20,603
331,12922
34,1058
182.85,22000
281,34000
99,4704
33,1470
66,2940
78,3484
72,3700
99,4410
331,6000
457,61930
21,1000
79,12482
1.17,162
1.17,165
1277,95000
56,2700
23,1098
33,1568
119,28000
170.5,36775
8,1058
8,1058
12,1588
15,1985
140.41,10600
27,12000
2553,138000
111,15490
178.3,16500
16,2212
17,2217
23,2808
20,2897
2,239
33,4280
35,4631
3,410
332,45000
36,5215
38,5305
38,5529
41,5550
4,529
122,55500
47,6561
423,64000
63,8215
21,812
6,819
6,819
5,853
78,9317
202,91500
33,2058
33,1048
89,12082
552,196980
102,20000
88,21336
61.5,270
24,3258
198,33690
202,34370
330.1,45000
410.75,53898
25,6061
46.5,6102
32,7608
60,8145
22.7,500
19.5,2864
93,6725
102,7375
252,7600
13,1150
1,100
181.8,12100
1208.9,251000
1399.4,297000
50,3087
33,3136
641.2,81200
10,1350
991.7,24000
94,7950
996,14749
399,46000
7.29,500
342,39000
165,8330
30.83,2740
331,20000
99,4704
330.9,40000
57.33,7780
39,1999
165,7840
1281,80000
17,833
25,5244
36,720
278.5,35700
3.95,600
6,1000
7,1000
20,12300
21,2730
10,3000
11,3650
40,5000
31,534
14,1060
33,1568
34,2560
5.7,200
302,26560
77,5800
94,7080
157.9,22900
4.79,400
16.5,735
16,833
149.15,10000
66,3332
83,4165
337,37427
198,4000
310.7,47500
33,1666
982,16300
196.49,2880
30,3500
60,3000
33,1568
1672,140000
526,165000
202.13,6000
7.29,250
33,1666
33,2058
3,70
323,102242
530.8,108963
532.2,113683
2494.3,127633
2820.9,137632
218.3,27408
230.1,28477
152.65,28644
238.5,30368
171,30700
293.6,35637
293.7,35649
198.4,35887
1385.1,369212
315.5,38671
236,39598
307.8,39925
246.4,41343
230.2,41503
322.2,42943
387.7,44523
356.9,44809
335.1,45061
386.7,56141
477.5,56254
347.2,60323
313.1,62595
358.6,64864
470.5,67470
422.5,68377
379.9,69620
440.4,77039
46,8300
487.2,82327
442.8,89052
444.5,89393
464.6,95373
10,206
10,230
10,290
10,302
10,304
10,333
198.33,7000
1,100
1728,22464
330,2000
331,2100
331,2200
165,2500
139,2520
198,2600
331,3000
266,3080
330,3300
330,4200
308.4,49300
823,15000
217,16137
264,32006
46.25,1330
33,1568
34.2,1800
315,11370
3.3,180
38,600
20,1080
3.3,180
6.6,360
63,4310
13,720
34.58,1470
34,1470
33,1568
15,250
24,350
66,4116
8.53,600
265,8000
104,9600
20,1080
226,2735
37.97,170
356,37000
17,881
176,9119
193.8,8000
156,94797
82.5,12478
95.75,14482
113.25,17129
165,21226
191.5,24636
169.9,25700
226.5,29138
129,1000
20,1320
400,10000
1002,136300
33,2180
413,10000
202.5,15000
1369,186355
12.78,470
178.73,5000
166,11000
170,22000
54,3520
33,1650
992,10500
252,13200
37,2200
66,3200
15.45,480
315.7,50000
499,77000
6,100
638,5790
1155,119000
137.2,42000
16.5,1029
9,260
268.5,32400
266.6,38100
179.67,43470
324,49000
56,2832
79,3600
422.8,80000
6,1000
16,1029
108,33000
8,333
110,49920
77.67,5000
40,5314
132,6664
69,2000
114.5,36800
39,5031
128,9000
645,32000
30,4540
4.61,447
992,51000
9.8,2800
206,3500
50,1000
132,2400
165,3050
129.6,38320
802,80000
18.15,475
218,5500
356.9,51000
33,1666
157,28870
471,37500
264.5,41500
259.5,47728
189.5,51765
314,57740
20,735
519,95440
870.4,105000
81,14142
992,17500
289.2,42000
33,5759
35,6100
778,111000
76,9200
516,46000
43,3000
13,1000
33,1666
19,1919
7,333
66,4116
99,4998
1,26
1,34
10,698
165,8100
53,10000
752.3,179330
321.6,60000
299,18000
188,49000
87,7700
33,1666
66,3200
397,49700
56,7100
366.4,15879
83,4900
1307.6,56667
330.25,6500
172,7454
207,8800
67,1340
138,3089
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
165,3694
211,4723
212,4745
297,6648
33,660
331,7407
331,7407
331,7407
8,700
6,1000
33,1660
66,3000
20,3500
3,500
37,120
453,26000
652,37000
995,57000
24,2100
66,3720
99,5510
165,9300
26,2000
165,2917
33,583
58,7200
33,1666
66,2860
449,36000
279,36000
165,5389
165,6717
165,6717
243,7936
17,735
7.67,1075
99,17000
62,2525
23.33,2879
23.33,3271
108,33000
220.3,45000
341,5500
4.67,576
4.67,654
7.67,946
67,8100
90,1000
162.13,10000
43,1911
157.8,12000
162,20000
751.4,238000
55,13400
496.2,180000
527.2,200000
169,27400
59,4500
122,1850
191.77,2300
290.2,45000
678,8000
33,1666
33,1960
165,8500
496,82000
10,1000
15.56,153
251.53,2479
37.7,371
265,63000
9.77,96
99.26,1800
297.4,37000
177.8,9275
437,15000
1874,34000
347.44,6300
974,10850
44,2124
15,726
8,203
166,10682
7,150
43.75,700
33,1666
571,120000
241,1400
13.64,1937
402.2,22000
175.8,26000
19,3547
257.6,19600
44.5,1350
187.6,16200
157,28000
2182,16200
651,17800
100,2310
99,4692
820,16000
2,225
197.7,32000
330,4500
152,40000
33,1499
1342,32000
25,1200
760,24100
365.2,85000
161,32385
303,45735
257,46794
449,75086
67.49,2940
132,4234
133,4266
17,735
12.9,750
31,200
181,1100
325.5,2000
397,25000
334,29000
512,5900
42,700
300,10550
95.1,4900
107.7,4900
99,5550
753,113800
742,23510
165,3750
165,3750
252,36000
1390,80490
124,6000
661.5,10000
153.75,17600
76,3800
10,1382
33,1666
152.28,2760
24,450
794,83000
71,1089
59,1180
185,2838
165,3218
265,4480
33,644
33,644
44,858
44,858
406,18940
504,23512
258,2700
348.5,51800
71,6000
70,6000
40.61,900
66,3332
248,4500
33,600
185,25000
187.7,28500
166,3200
564,30600
361,6540
18.48,1240
36,1833
204.52,13760
66,4273
94.67,1130
30,1525
323,108000
230,11360
3,120
2,30
497,6000
133,6759
617,24000
83,5100
464.4,80000
166,3000
40,3600
430,8450
405,8540
410.75,65500
46.5,7500
165,3750
165,3750
286.9,37315
364.25,4950
93,3348
165,3920
151,3980
364.25,6490
66,4142
24.1,1100
44,2054
580.9,56500
141,9440
8.5,1510
8.63,1530
1,178
15,2662
16.5,2931
86,3000
172,30558
244.54,4415
251.53,4585
28,4968
32.5,5774
37,6573
5,888
235,10650
331,16600
108,1500
66,1750
66,3430
53,700
141.68,1764
660,110000
28,2000
662,8000
202,1000
20,17000
66,3430
283.4,65515
165,8000
165,8575
33,1300
12,115
2,20
18.18,6600
11,85
66,3700
591.1,108580
393,38500
662,10234
172,3380
497,9016
20,1400
16,600
460,61000
12.7,1720
565.75,10000
848.63,15000
816,16000
1.2,163
16.1,2180
1224,23000
246.5,31500
52.2,7070
6.8,921
113,1469
10,131
110.5,2500
446,24000
103,9564
7,1022
8,1168
11,1606
33,4818
35,5110
66,9636
1681,94000
74.5,1005
74.5,1125
229,32330
330,5000
26,624
70.84,1365
12,1650
42.9,2500
129,3100
28,3850
262.4,44000
384,69696
70.84,1365
165,10192
99,13500
81,2195
66,2391
166,5978
662,9500
264,9565
731,99450
35.73,1820
47.6,1930
40,13500
165,3000
198,3600
229,31000
331,6000
2,600
332,4200
337,4242
244,40500
133.7,6300
130.4,6700
1,170
1.33,39
220,6365
86.5,6500
1016.5,76875
3.33,96
142,12916
145,13189
89,8095
24,10248
12,3600
317,37000
656,63000
39.62,2179
210,10800
828,151400
165,3500
198,4200
375,68600
330,7000
165,1750
165,1750
165,1750
165,1750
100,15000
110,16000
332,40000
44,12571
1,273
328,8625
331,11214
331,11214
600,11300
102,2000
165,5590
198,6708
198,6708
198,6708
232,7860
33,1470
659,110000
91,16300
3.12,200
1.56,50
45.7,7250
49.3,7750
4.62,750
23,560
334,6400
16,1509
5,1567
1362,100000
1709,82700
334,12800
165,6300
232,8900
123,17000
121,17000
5,210
6.52,1000
14,1236
8,658
2,236
6,708
73,8616
166.5,2000
41,3000
503,48750
8.5,500
1.67,731
1.67,869
3,960
83,12061
506,12240
90,15000
124,3500
33,1000
998,31680
159.4,34000
159.3,34000
4.14,348
6.58,552
321,15550
30,2000
1028,281000
95,4000
54.2,2000
17.88,3000
74,5200
330,3300
9.2,2190
11.8,2810
124.67,15000
1064.93,70000
271.6,53400
349.75,15000
331,19000
331,19000
330,2450
661,10400
330,5290
495,6000
75,1100
17.2,400
495,7500
126,14616
268,28944
275.3,33750
275.3,33750
66,4000
9,948
