시군구,용도지역,계약면적(㎡),거래금액(만원)
울산광역시 동구 ,제2종일반주거지역,25.05,550
울산광역시 동구 ,제2종일반주거지역,393.8,51170
울산광역시 동구 ,제2종일반주거지역,205.8,19000
울산광역시 동구 ,제3종일반주거지역,50.0,20000
울산광역시 동구 ,제3종일반주거지역,5.0,2000
울산광역시 동구 ,제2종일반주거지역,5.29,470
울산광역시 동구 ,제2종일반주거지역,36.3,950
울산광역시 동구 ,제3종일반주거지역,7.5,3000
울산광역시 동구 ,제3종일반주거지역,25.0,10000
울산광역시 동구 ,제1종일반주거지역,79.0,12482
울산광역시 동구 ,제1종일반주거지역,171.0,30700
울산광역시 동구 ,제1종일반주거지역,46.0,8300
울산광역시 동구 ,제2종일반주거지역,422.8,80000
울산광역시 동구 ,제2종일반주거지역,18.15,475
울산광역시 동구 ,제2종일반주거지역,53.0,10000
울산광역시 동구 ,제2종일반주거지역,44.5,1350
울산광역시 동구 ,제2종일반주거지역,24.1,1100
울산광역시 동구 ,제2종일반주거지역,42.9,2500
울산광역시 동구 ,제2종일반주거지역,384.0,69696
울산광역시 동구 ,제2종일반주거지역,100.0,15000
울산광역시 동구 ,제2종일반주거지역,110.0,16000
울산광역시 동구 ,제2종일반주거지역,159.4,34000
울산광역시 동구 ,제2종일반주거지역,159.3,34000
울산광역시 동구 ,제3종일반주거지역,124.67,15000
울산광역시 동구 ,제3종일반주거지역,1064.93,70000
울산광역시 동구 ,제1종일반주거지역,126.0,14616
울산광역시 동구 ,제3종일반주거지역,9.0,948
울산광역시 동구 ,제2종일반주거지역,49.0,3281
울산광역시 동구 ,제2종일반주거지역,129.0,16000
울산광역시 동구 ,제2종일반주거지역,59.98,4300
울산광역시 동구 ,제2종일반주거지역,32.5,1000
울산광역시 동구 ,제2종일반주거지역,23.0,1196
울산광역시 동구 ,제2종일반주거지역,3.82,275
울산광역시 동구 ,제2종일반주거지역,8.19,588
울산광역시 동구 ,제2종일반주거지역,148.4,14500
울산광역시 동구 ,제2종일반주거지역,24.58,1762
울산광역시 동구 ,제1종일반주거지역,815.0,117400
울산광역시 동구 ,제2종일반주거지역,11.35,200
울산광역시 동구 ,제2종일반주거지역,165.4,24500
울산광역시 동구 ,제2종일반주거지역,7878.0,1479603
울산광역시 동구 ,제2종일반주거지역,572.0,107430
울산광역시 동구 ,제2종일반주거지역,557.0,118690
울산광역시 동구 ,제2종일반주거지역,2472.0,464278
울산광역시 동구 ,제2종일반주거지역,119.0,8100
울산광역시 동구 ,제1종일반주거지역,39.0,5850
울산광역시 동구 ,제1종일반주거지역,42.0,5880
울산광역시 동구 ,제2종일반주거지역,326.9,54000
울산광역시 동구 ,제2종일반주거지역,16.39,1175
울산광역시 동구 ,제2종일반주거지역,1.0,100
울산광역시 동구 ,제3종일반주거지역,139.0,23200
울산광역시 동구 ,제2종일반주거지역,42.0,4445
울산광역시 동구 ,제2종일반주거지역,6.93,400
울산광역시 동구 ,제3종일반주거지역,12.0,147
울산광역시 동구 ,제3종일반주거지역,15.0,178
울산광역시 동구 ,제1종일반주거지역,10.0,1390
울산광역시 동구 ,제2종일반주거지역,22.0,3000
울산광역시 동구 ,제2종일반주거지역,308.0,47000
울산광역시 동구 ,제2종일반주거지역,29.7,200
울산광역시 동구 ,제2종일반주거지역,21.18,800
울산광역시 동구 ,제1종전용주거지역,32.0,5392
울산광역시 동구 ,제2종일반주거지역,113.4,22000
울산광역시 동구 ,제2종일반주거지역,24.3,750
울산광역시 동구 ,제2종일반주거지역,211.0,32000
울산광역시 동구 ,제2종일반주거지역,330.0,50000
울산광역시 동구 ,제1종일반주거지역,53.0,6400
울산광역시 동구 ,제1종일반주거지역,7.0,900
울산광역시 동구 ,제2종일반주거지역,23.95,1000
울산광역시 동구 ,제2종일반주거지역,10.0,400
울산광역시 동구 ,제2종일반주거지역,11.14,320
울산광역시 동구 ,제2종일반주거지역,357.0,75000
울산광역시 동구 ,제1종일반주거지역,238.0,25200
울산광역시 동구 ,제1종일반주거지역,60.0,7407
울산광역시 동구 ,제2종일반주거지역,17.67,900
울산광역시 동구 ,제3종일반주거지역,90.0,17190
울산광역시 동구 ,제1종일반주거지역,10.0,1460
울산광역시 동구 ,제1종일반주거지역,42.0,6140
울산광역시 동구 ,제2종일반주거지역,331.8,45000
울산광역시 동구 ,제2종일반주거지역,10714.0,419453
울산광역시 동구 ,제2종일반주거지역,2601.9,90936
울산광역시 동구 ,제1종일반주거지역,37.0,2200
울산광역시 동구 ,제2종일반주거지역,137.0,27674
울산광역시 동구 ,제1종일반주거지역,557.0,87200
울산광역시 동구 ,제2종일반주거지역,12.43,400
울산광역시 동구 ,제2종일반주거지역,19.0,2200
울산광역시 동구 ,제2종일반주거지역,6326.0,1125170
울산광역시 동구 ,제2종일반주거지역,9037.0,1607360
울산광역시 동구 ,제2종일반주거지역,64.0,11383
울산광역시 동구 ,제2종일반주거지역,992.0,176441
울산광역시 동구 ,제2종일반주거지역,1.0,178
울산광역시 동구 ,제2종일반주거지역,106.0,18854
울산광역시 동구 ,제2종일반주거지역,1041.0,185157
울산광역시 동구 ,제2종일반주거지역,1143.0,203299
울산광역시 동구 ,제2종일반주거지역,1199.0,213259
울산광역시 동구 ,제2종일반주거지역,1328.0,236204
울산광역시 동구 ,제1종일반주거지역,1428.0,253990
울산광역시 동구 ,제2종일반주거지역,1480.0,263239
울산광역시 동구 ,제2종일반주거지역,1632.0,290275
울산광역시 동구 ,제2종일반주거지역,1767.0,314286
울산광역시 동구 ,제2종일반주거지역,2.0,356
울산광역시 동구 ,제2종일반주거지역,2004.0,356440
울산광역시 동구 ,제2종일반주거지역,254.0,45178
울산광역시 동구 ,제2종일반주거지역,2627.0,467250
울산광역시 동구 ,제2종일반주거지역,30.0,5336
울산광역시 동구 ,제2종일반주거지역,283.0,50336
울산광역시 동구 ,제2종일반주거지역,306.0,54426
울산광역시 동구 ,제2종일반주거지역,316.0,56205
울산광역시 동구 ,제2종일반주거지역,3395.0,603849
울산광역시 동구 ,제2종일반주거지역,355.0,63142
울산광역시 동구 ,제2종일반주거지역,400.0,71146
울산광역시 동구 ,제2종일반주거지역,4018.0,714659
울산광역시 동구 ,제2종일반주거지역,475.0,84486
울산광역시 동구 ,제2종일반주거지역,490.0,87154
울산광역시 동구 ,제2종일반주거지역,5169.0,919381
울산광역시 동구 ,제2종일반주거지역,536.0,95335
울산광역시 동구 ,제2종일반주거지역,5453.0,969894
울산광역시 동구 ,제2종일반주거지역,66.0,13300
울산광역시 동구 ,제2종일반주거지역,9.0,2100
울산광역시 동구 ,제2종일반주거지역,13.39,980
울산광역시 동구 ,제2종일반주거지역,11.35,200
울산광역시 동구 ,제2종일반주거지역,1.0,250
울산광역시 동구 ,제2종일반주거지역,8909.0,1727422
울산광역시 동구 ,제2종일반주거지역,991.0,208179
울산광역시 동구 ,제2종일반주거지역,3406.0,636155
울산광역시 동구 ,제2종일반주거지역,107.0,10800
울산광역시 동구 ,제1종일반주거지역,7.0,610
울산광역시 동구 ,제2종일반주거지역,6326.0,1125170
울산광역시 동구 ,제2종일반주거지역,9037.0,1607360
울산광역시 동구 ,제2종일반주거지역,64.0,11383
울산광역시 동구 ,제2종일반주거지역,992.0,176441
울산광역시 동구 ,제2종일반주거지역,1.0,178
울산광역시 동구 ,제2종일반주거지역,106.0,18854
울산광역시 동구 ,제2종일반주거지역,1041.0,185157
울산광역시 동구 ,제2종일반주거지역,1143.0,203299
울산광역시 동구 ,제2종일반주거지역,1199.0,213259
울산광역시 동구 ,제2종일반주거지역,1328.0,236204
울산광역시 동구 ,제1종전용주거지역,1428.0,253990
울산광역시 동구 ,제2종일반주거지역,1480.0,263239
울산광역시 동구 ,제2종일반주거지역,1632.0,290275
울산광역시 동구 ,제2종일반주거지역,1767.0,314286
울산광역시 동구 ,제2종일반주거지역,2.0,356
울산광역시 동구 ,제2종일반주거지역,2004.0,356440
울산광역시 동구 ,제2종일반주거지역,254.0,45178
울산광역시 동구 ,제2종일반주거지역,2627.0,467250
울산광역시 동구 ,제2종일반주거지역,30.0,5336
울산광역시 동구 ,제2종일반주거지역,283.0,50336
울산광역시 동구 ,제2종일반주거지역,306.0,54426
울산광역시 동구 ,제2종일반주거지역,316.0,56205
울산광역시 동구 ,제2종일반주거지역,3395.0,603849
울산광역시 동구 ,제2종일반주거지역,355.0,63142
울산광역시 동구 ,제2종일반주거지역,400.0,71146
울산광역시 동구 ,제2종일반주거지역,4018.0,714659
울산광역시 동구 ,제2종일반주거지역,475.0,84486
울산광역시 동구 ,제2종일반주거지역,490.0,87154
울산광역시 동구 ,제2종일반주거지역,5169.0,919381
울산광역시 동구 ,제2종일반주거지역,536.0,95335
울산광역시 동구 ,제2종일반주거지역,5453.0,969894
울산광역시 동구 ,제2종일반주거지역,34.45,380
울산광역시 동구 ,제2종일반주거지역,557.0,160000
울산광역시 동구 ,제2종일반주거지역,119.0,20000
울산광역시 동구 ,제2종일반주거지역,19.0,2234
울산광역시 동구 ,제2종일반주거지역,11.61,50
울산광역시 동구 ,제2종일반주거지역,1.78,45
울산광역시 동구 ,제2종일반주거지역,219.9,33500
울산광역시 동구 ,제3종일반주거지역,45.16,3885
울산광역시 동구 ,제1종일반주거지역,10.0,1710
울산광역시 동구 ,제3종일반주거지역,10.0,4000
울산광역시 동구 ,제2종일반주거지역,168.1,9000
울산광역시 동구 ,제3종일반주거지역,7.5,3000
울산광역시 동구 ,제1종일반주거지역,342.0,38328
울산광역시 동구 ,제1종일반주거지역,349.0,39110
울산광역시 동구 ,제1종일반주거지역,16.0,1500
울산광역시 동구 ,제1종일반주거지역,126.0,14100
울산광역시 동구 ,제1종일반주거지역,187.0,20900
울산광역시 동구 ,제2종일반주거지역,24.5,420
울산광역시 동구 ,제1종일반주거지역,782.5,130000
